Date,ISIN,Security Deposition,Maturity Date,Trades,Volume (Cr),Open Yield,High Yield,Low Yield,Last Yield,Wtd Avg Yield,Wtd Avg Price
13-09-2024,IN0020150028,7.88% GS 2030,19-03-2030,1,224.37,6.6000,6.6000,6.6000,6.6000,6.6000,104.9400
13-09-2024,IN0020230028,6.99% GS 2026,17-04-2026,2,295.00,6.6000,6.6000,6.5500,6.5500,6.5644,100.3875
13-09-2024,IN0020190016,7.27% GS 2026,08-04-2026,3,115.45,6.6500,6.6500,6.6500,6.6500,6.6500,100.7950
13-09-2024,IN0020070036,8.26% GOVT.STOCK 2027,02-08-2027,1,19.07,6.6500,6.6500,6.6500,6.6500,6.6500,103.9200
13-09-2024,IN0020110063,8.83% GOVT.STOCK 2041,12-12-2041,3,384.91,6.6500,6.6800,6.6500,6.6600,6.6602,119.0900
13-09-2024,IN0020150028,7.88% GS 2030,19-03-2030,1,224.37,6.6000,6.6000,6.6000,6.6000,6.6000,104.9400
13-09-2024,IN0020230028,6.99% GS 2026,17-04-2026,2,295.00,6.6000,6.6000,6.5500,6.5500,6.5644,100.3875
13-09-2024,IN0020190016,7.27% GS 2026,08-04-2026,3,115.45,6.6500,6.6500,6.6500,6.6500,6.6500,100.7950
13-09-2024,IN0020070036,8.26% GOVT.STOCK 2027,02-08-2027,1,19.07,6.6500,6.6500,6.6500,6.6500,6.6500,103.9200
13-09-2024,IN0020110063,8.83% GOVT.STOCK 2041,12-12-2041,3,384.91,6.6500,6.6800,6.6500,6.6600,6.6602,119.0900
13-09-2024,IN0020150028,7.88% GS 2030,19-03-2030,1,224.37,6.6000,6.6000,6.6000,6.6000,6.6000,104.9400
13-09-2024,IN0020230028,6.99% GS 2026,17-04-2026,2,295.00,6.6000,6.6000,6.5500,6.5500,6.5644,100.3875
13-09-2024,IN0020190016,7.27% GS 2026,08-04-2026,3,115.45,6.6500,6.6500,6.6500,6.6500,6.6500,100.7950
13-09-2024,IN0020070036,8.26% GOVT.STOCK 2027,02-08-2027,1,19.07,6.6500,6.6500,6.6500,6.6500,6.6500,103.9200
